state,sector,date,value
Johor,nondomestic,01/01/2022,536
Kedah,nondomestic,01/01/2022,217
Kelantan,nondomestic,01/01/2022,77
Melaka,nondomestic,01/01/2022,190
Negeri Sembilan,nondomestic,01/01/2022,231
Pahang,nondomestic,01/01/2022,283
Perak,nondomestic,01/01/2022,289
Perlis,nondomestic,01/01/2022,18
Pulau Pinang,nondomestic,01/01/2022,334
Sabah,nondomestic,01/01/2022,238
Sarawak,nondomestic,01/01/2022,463
Selangor,nondomestic,01/01/2022,1350
Terengganu,nondomestic,01/01/2022,173
Labuan,nondomestic,01/01/2022,33
Kuala Lumpur,nondomestic,01/01/2022,
Putrajaya,nondomestic,01/01/2022,
