State,Year,Unit (Nos)
Johor,2020,46
Kedah,2020,38
Kelantan,2020,35
Labuan,2020,6
Melaka,2020,10
Negeri Sembilan,2020,21
Pulau Pinang,2020,9
Pahang,2020,74
Perak,2020,43
Perlis,2020,4
Selangor,2020,34
Terengganu,2020,12
Johor,2021,46
Kedah,2021,35
Kelantan,2021,39
Labuan,2021,6
Melaka,2021,11
Negeri Sembilan,2021,21
Pulau Pinang,2021,9
Pahang,2021,74
Perak,2021,44
Perlis,2021,4
Selangor,2021,34
Terengganu,2021,12
Johor,2022,46
Kedah,2022,35
Kelantan,2022,41
Labuan,2022,6
Melaka,2022,12
Negeri Sembilan,2022,21
Pulau Pinang,2022,9
Pahang,2022,74
Perak,2022,46
Perlis,2022,4
Selangor,2022,34
Terengganu,2022,16
